product_brand,product_category,product_type,product_name
lancome.com,Makeup,Foundation,Lancôme Teint Idole Ultra Wear Foundation
lancome.com,Makeup,Mascara,Lancôme Lash Idôle Mascara
lancome.com,Makeup,Lipstick,Lancôme L'Absolu Rouge Hydrating Lipstick
lancome.com,Skincare,Serum,Lancôme Advanced Génifique Face Serum
lancome.com,Skincare,Moisturizer,Lancôme Rénergie Lift Multi-Action Day Cream
lancome.com,Skincare,Eye Treatment,Lancôme Advanced Génifique Eye Cream
lancome.com,Fragrance,Women's Fragrance,Lancôme La Vie Est Belle Eau de Parfum
lancome.com,Fragrance,Gift Set,Lancôme La Vie Est Belle Gift Set
maybelline.com,Makeup,Foundation,Maybelline Fit Me Matte + Poreless Foundation
maybelline.com,Makeup,Mascara,Maybelline Sky High Mascara
maybelline.com,Makeup,Lipstick,Maybelline SuperStay Matte Ink Liquid Lipstick
maybelline.com,Makeup,Concealer,Maybelline Instant Age Rewind Concealer
maybelline.com,Makeup,Eye Shadow,Maybelline The Nudes Eyeshadow Palette
maybelline.com,Makeup,Eyeliner,Maybelline Eye Studio Lasting Drama Gel Eyeliner
maybelline.com,Makeup,Face Powder,Maybelline Fit Me Matte + Poreless Powder
kiehls.com,Skincare,Facial Cleanser,Kiehl's Ultra Facial Cleanser
kiehls.com,Skincare,Moisturizer,Kiehl's Ultra Facial Cream
kiehls.com,Skincare,Serum,Kiehl's Midnight Recovery Concentrate
kiehls.com,Skincare,Eye Treatment,Kiehl's Creamy Eye Treatment with Avocado
kiehls.com,Skincare,Face Mask,Kiehl's Rare Earth Deep Pore Cleansing Mask
kiehls.com,Body Care,Body Lotion,Kiehl's Creme de Corps Body Lotion
kiehls.com,Hair Care,Shampoo,Kiehl's Amino Acid Shampoo
kiehls.com,Men's Care,Shaving Cream,Kiehl's Ultimate Brushless Shave Cream
