segment_type,segment_category,segment_name
Interest,Family,Daycare and Pre-School
Interest,Family,Internet Safety
Interest,Family,Parenting Babies and Toddlers
Interest,Family,Parenting Children Aged 4-11
Interest,Family,Parenting Teens
Interest,Business,Food Industry
Interest,Business,Healthcare Industry
Interest,Business,Retail Industry
Interest,Business,Apparel Industry
Interest,Business,Marketing and Advertising
Interest,Business,Consumer Issues
Interest,Business,Financial Reform
Interest,Health,Children's Health
Interest,Health,Fitness and Exercise
Interest,Health,Running and Jogging
Interest,Health,Men's Health
Interest,Health,Nutrition
Interest,Health,Senior Health
Interest,Health,Weight Loss
Interest,Health,Alternative Medicine
Interest,Health,Herbs and Supplements
Interest,Health,Holistic Health
Interest,Health,Physical Therapy
Interest,Health,Smoking Cessation
Interest,Health,Women's Health
Interest,Food,Alcoholic Beverages
Interest,Food,Barbecues and Grilling
Interest,Food,Cooking
Interest,Food,Desserts and Baking
Interest,Food,Dining Out
Interest,Food,Food Allergies
Interest,Food,Food Movements
Interest,Food,Healthy Cooking and Eating
Interest,Food,Non-Alcoholic Beverages
Interest,Food,Plant-Based Vegan Diets
Interest,Food,Plant-Based Vegetarian Diets
Interest,Food,World Cuisines
Interest,Home,Gardening
Interest,Home,Home Entertaining
Interest,Home,Home Improvement
Interest,Home,Interior Decorating
Interest,Home,Landscaping
Interest,Pets,Cats
Interest,Pets,Dogs
Interest,Pets,Pet Grooming
Interest,Pets,Pet Nutrition
Interest,Pets,Pet Health & Wellness
Interest,Pets,Pet Travel & Accessories
Interest,Fashion,Beauty & Cosmetics
Interest,Fashion,Fashion Trends
Interest,Fashion,Men's Fashion
Interest,Fashion,Personal Care
Interest,Fashion,Women's Fashion
Interest,Fashion,Sustainable Fashion
Interest,Fashion,Streetwear
Interest,Fashion,Athleisure
Interest,Fashion,Vintage & Retro Fashion
Interest,Fashion,Designer Fashion
Interest,Fashion,Fast Fashion
Interest,Fashion,Ethical & Eco-Friendly Fashion
Interest,Fashion,Plus-Size Fashion
Interest,Fashion,Children’s Fashion
Interest,Fashion,Custom Tailoring & Bespoke
Interest,Fashion,Fashion Bloggers & Influencers
